RestaurantID,Cuisine
J2fxYEwLWc_ifoBjA8lXzQ,pizza
0laCKZiHrdM_ZKdhTFbGgg,pizza
Sc9b0gyGPUe7SFuOCK00_Q,pizza
St8a2de1vfyCxwIySBUWbA,pizza
ffJddI2ICrCz6q_QWrU5VQ,pizza
03dlQRQNhOKZSD_ZGGUPVQ,pizza
VG6Lhgcq5AHP-kklGTCbTQ,pizza
GnaeBuilZb_fU01v3wNhZw,pizza
JMXYzL0jquNEE9nIuWNzUw,pizza
anP9HCa1F8x3SkvaKdcIZw,pizza
H8qcX7MNNnC1bqE0LnIhKg,pizza
eXp_dxTX1aT-ErdFajIKXw,pizza
MGBFibk55nVIGsIV5zZtkw,pizza
iSD5QHURPylVUNWJjv50Pg,pizza
aQvcfJ7p_oDEXUZOnUcYCg,pizza
vVVmHacu2YAxKfpIjhfd1g,pizza
Hc0p6xWxJthMZIlckFzgZA,pizza
e6pF5tzU3W2ufrWDZxVIeg,pizza
V7z1ZkTOtV-dNOKhZsAlMw,pizza
3VJwpmmeoPlCN3J5p5miEQ,pizza
096LKIm7omuiwKY3rcUQqA,pizza
H1YIowHp7SMbpVoOtSEIJg,pizza
pL2tig3FxJcrZ4wDIO4TsA,pizza
ESpIimUxHNF1fFuGBdVwCg,pizza
n7JhermRt4mULT2bS_18kg,pizza
6mYQzAdPxa4S1ZtvjST1eg,pizza
Ohi-o00luDtU7TMpVtJHJw,healthy
jE5_yPypanQLdYe7-f__dA,healthy
d85rC8v82Tul_TEVefnRPg,healthy
koh-4_SAbshwZ8EBRmXcmg,healthy
0NIk56Duwv9aojlCzAbZpQ,healthy
47J3jLkclOMXExoPoIpnag,healthy
QaDOWy4-11982JWIxpImNQ,healthy
8AM1gGIk6KVb27Q9TYwD9Q,healthy
rn6SmSqAYx2kLFIAxytMMQ,healthy
xhWqjDuoORYBVgZVc4uK3g,healthy
s8fqj5tqibEsRGXHMxhOEQ,healthy
QqULonsHw9vcXp30eVJ-nw,healthy
C0Gv8NWtYAcaol7uVmGHvA,healthy
W4mnJcaf42jqkSOHVjnWVw,healthy
Hgc27X2PX2jZQMcVtbJ9vQ,healthy
DKGUSLiqNchBNatKoPM9QQ,healthy
7Qvh0oFRsoqrO9qNlcMKXQ,healthy
t6TzNUUY2ez6s-GYOLs4VA,healthy
bd1_d6qDG5CByD5Sl39DfA,healthy
jW4PUFUQnarsH9K2JgiKuw,healthy
SSDOkx5enfRH3nsniS_2jA,healthy
Ci8ZAbhfNc0sj3kwj6XRmw,healthy
mtcv1ZV9EpXP3mOm6ORMrQ,healthy
knR68q05QF1NjJ7WMyqhfg,healthy
H6mb9qdqzOUEWz0WvpOsUA,healthy
5-JRGE4uZzjFvzvWxF-zig,healthy
dp2gh3PsxKBiqVVxKwyTHw,healthy
BKABojUN3G9vUrG3AlDZgQ,healthy
mJEnggrjDBLrUc0pHRI3AQ,healthy
KnFeP57QEHNw_R0OJEDUXA,healthy
hWaosUoFzJ169zQ4-8HRmg,healthy
B-lbpKcK1sVfqGdlmagKag,healthy
EBK0OkVMBg_n_KxAU_4DZg,healthy
iXrKGRzIZK0pp31mO3nBzA,healthy
V3LxcyGfHInU_7F5dnOfVw,healthy
x5HLJVEOYF-cCmGEZFu9yA,healthy
c921DfWPCxG5qJ687TU6Xw,healthy
0bDtHB75wr16A_8zUm_2ng,healthy
1mp7uP6Kz_Zz4UClVfnjFQ,healthy
wSQyTqpN3mjRZTilbEXGSA,healthy
KFk_iaaKOG9LYZT06YzGJw,healthy
ucv2wqmJ3npdnha1zKnp7g,healthy
-qH2RpUAZgDtp4Y5d_rI5w,healthy
9lAt-D83sHrHroan6DMZNw,healthy
fHG9NaQR7Apf4R7Zvh9oOw,healthy
-jcSbz_IBk-NC_ZOXh-r6w,healthy
-Q7D9350ODkZSz21td56gw,healthy
1v-XWdAZ7MfAQujYuG5F4g,healthy
wGcquMur1HYWhc4baXB27A,healthy
rp_TaJRjaNmOCb8vJ2S_sw,healthy
jh42MR1OQFAFMhe_pQEzmw,brunch
eOxGkxi5hEY426ww5qk3GA,brunch
Rc1lxc5lSKJYd162JHNMfQ,brunch
M-AcAh1C_eQfhzGk6ZmOSQ,brunch
YSflX6shqcP3zYno0Zz75Q,brunch
56nGFQ5PVuGErwcAR34QAw,brunch
GpWXEpVyehmKP2WQsD_Y8g,brunch
wOYqxqz5yhx3CrP2RsCXpw,brunch
ts8AI4LsReeu_rMJ5-AeQg,brunch
WHQpLvxkCK_BMtF8pIShnQ,brunch
meVzfRH_wLAJjcrCAhkh1g,brunch
_0WFGjXuenlBixOlbSlGeQ,brunch
bMc_vEplFI56k1Jng1-dsg,brunch
sVkwEFET38Myz3dM1uZpiw,brunch
iZeAlmKKvxnPu5oUKN-B3Q,brunch
nKpHJSu7xbGyerOjfLRzfA,brunch
8wMJdpw2R_4VfS55itB_gQ,brunch
SaYTVG7wHCMDBofHCgXPaA,brunch
xMUZfoyzyJoTfZxrEZus4Q,brunch
HpGdo46h1iZqZF_MN3DAmw,brunch
4LV-7hGnfimAhoAuYhgvEg,brunch
66T7rXIZvcVg7XicY6QObg,brunch
9pI_G9xGiTY4YCcfe9eoPA,brunch
sR60I9PI_63noBQcGoIrbw,brunch
Ps0cOZevNA1M9M5_z7W3oQ,brunch
6G0urbBDz_CnYnGXApgUcw,brunch
KEyhIMAUpj7cceOvG9C1sA,brunch
VX9XPnQ3-k7vdGKLxu1qBw,brunch
VhN7u8-4c1QtPlNuA_HocA,brunch
a4WZUTKn90dOkeY38JHNjQ,brunch
zUv1BNm_a9-3DkxrCG3tng,brunch
iexl39DYyy_76Xq3ExaJkQ,brunch
nJvbEcsYCLPRVzNgi47qBQ,brunch
xbrQ2dHuQoFJmNxAuOky4A,brunch
OCUVstGH_LkEI0MooBhr7w,brunch
3rKFs5FrN42JRKW2ObewTQ,brunch
RfxOtJ4SQmEeVX_XjFLWUQ,brunch
pk89jzL1RsE9U0thf_z6tw,brunch
uYMimeHJ5XBGkyTrg8GXhw,brunch
EExssFJhwDf11NDAfpdXPQ,brunch
K9_vumaLO80LXgoPNJJvRQ,brunch
8UwRTdW4OtSEI2rJ_p1zGg,brunch
BglFB3mkuo_PVtxdok4v3A,brunch
d7_W8J8T0PESBsILMsGKGQ,brunch
IOHaEgK1zDvUvB3SfKuGCw,brunch
IZw7SfYpvXMFLErXBMDKVQ,brunch
Rj2ACaJcbroJLPDhRhzvBw,brunch
AKHA6ZU8uM3vmLwH2hqH_A,brunch
1L0pkxU2QqOkOg2drzqtPA,brunch
Lw044EfH1h3XhUhri3ExfA,brunch
NJ7zULzFvPxrt_ILMvV7gA,korean
GBk_i2qnjMtQIt_ntJpzbw,korean
dtk1Cstz5MHr-B1AOM_nXA,korean
