RestaurantID,Cuisine
u5V6wQQv3e4BmbyzUDYLNQ,japanese
HGLH-sa-Fp3X6UXcaG7U0g,japanese
qVlDLz8Ri-ThAFJgYHuQ9A,japanese
j7VDGSiI6VXcIp-4cd_-yw,japanese
LpVbI-E9C-CSp7WhU5h2Iw,japanese
FsuJ7VC5vxX3wcLhFrb97Q,japanese
M9NNvpKlOWLxJbSPDTe0Lg,japanese
l7G5tDA96xbA_bx1ZgkOeg,japanese
oqc3VhmCQgm8z4snVh-6Ew,japanese
UI6YjZ34NnLdymKx2qf53g,japanese
YoR6ouUwehLFnBQ7RAjPlw,japanese
xbrQ2dHuQoFJmNxAuOky4A,pizza
puSz9vokrErQOlyx1IrwXA,pizza
n_NIY1KTi-R5DPkduEUKIw,pizza
Zjj8JkJm0yRyrUFffr7Eww,pizza
nyPEn4t4dJglcWxoQRp7vA,pizza
f-WkzzSaAA_mdDmsKlJ4sw,pizza
fH8DkdRerw5LJ7fZZHRfeA,pizza
pAnaw43SmxgT94Ahy5845g,pizza
CFR-HzVHKWRMpMAR3LAhzg,pizza
zHtCLIChaKxqFXfMZQHkMQ,pizza
dvUsg9UFFuUb2rE7RA5tnA,pizza
na-2_gQCY7ccS2ZkLJDumQ,pizza
nrZGRRGJa2mQSbF1tVM1IA,pizza
m3PS0tIaa0ChcP8Y5S-DrQ,pizza
WGG16MQeM96TAf7a39dQuw,pizza
UB1mGugr1pvgUUP1eTNXrg,pizza
S9S-uR_AvwZnUM3lfBTIwQ,pizza
FKzpfWUpyupl4q74Jt8fTA,pizza
WE_dce2JKcv-VoFNaqiJ4w,pizza
nk4Nf47k6cKZf_7DZesnJA,pizza
bECGD4eJdhlc09Szsd__jA,pizza
f5VGuw9Fzb6P6E7oqSvjPw,pizza
LEvgzmAhw_pGloHv49g41A,pizza
Hl4R5mfkz8aV0yb-IA_RMA,pizza
gq3qxpNJRBlBDVch_v6oIw,pizza
_Z__jLDUIYlO5BVXEW0dfg,pizza
2ocEotgscaDAEr6Ok2_XAA,pizza
VWErTDzcg23iiohqyc1AQQ,pizza
OLS8G_pClL1PuBJcFY-O4g,pizza
kqewBLuQDB3euc-s_mRf4A,pizza
0LpWRWQx8Agm-mZtsOQ5gg,pizza
mYQMjrtHp8vsEKKNsRz1XA,pizza
J0OeDwmh5JBhid0A5GvltA,pizza
39RVtjUnWPD2FTg_n_pEWg,pizza
kcBTJsftfhKMc2UjGW48Tw,pizza
gRlhsEVogmdZfZooU0bCIQ,pizza
wmT2ZK9Z9srX8UUR5D1q_A,pizza
t0Bel7xLMUt5g8qIpBylZg,pizza
1d03Uru0tjjSLl1Afe0lkg,pizza
wvn-FO-tY9_iWmA_OgMvEA,pizza
Qb2Z_cD0VedHQF11d34sAw,pizza
EsHcyOLHaK76bQuU7bwiTw,pizza
c3D2ckzacnPtdGIM8tb-_w,pizza
1yd-Hq0UFuKN4bY6X2hYVQ,pizza
lXzK0i9VnocLzPFwmEQ8Aw,pizza
QGYamJlkZL8cfI-l_Am6kw,pizza
PGSpdHt3hhOg4lQrseSSMw,pizza
BVg-2qLuc1owrEE1oQjXRA,pizza
wqXnUldj2H2XMa_frZxcwQ,pizza
gNFZnphlgmtGQOBwf4GPiA,pizza
3jlFf1aOHBxk_XwQmxhXOg,healthy
csVEpHy5KJoFvM1qp5XwLQ,healthy
OjgO9peW6cn6R8POMWYUEQ,healthy
S7ivv5O0beH3U9cV3cRD_Q,healthy
9E5i1t-X9DbCnVQrczkkTA,healthy
PVQaMqmM_ddb3CimXC_k5A,healthy
Y_FCEXN-Jk6fArRoDf-9pg,healthy
o6mE4IK7U2wruJmBF3zWnA,healthy
cIYsxVEKD9R2X8PD_iivnw,healthy
L-0kBMMibv1iZbbz-uPv3g,healthy
D14Bd3k013ugwNyPT-ofzA,healthy
aOayzbPZzHU1r9P1YZbegQ,healthy
IRRhwACUiMaqkBVAZiCzeg,healthy
3ik-lT8Pu7PAc_04af1J0w,healthy
1gK-0_lGqjxbwiHWcXXdzg,healthy
3dGWHRbrh9V8Dl-qLwCUYw,healthy
88zRCZWAXKMZwBTCt-S69w,healthy
yFub1BhKEP-W-_ZM3_nJoQ,healthy
_RjS8jwdAv5eVfGsXp2x7A,healthy
u8mQ5BU8dKL5zuSv3_ZzJg,healthy
jE5_yPypanQLdYe7-f__dA,healthy
9v4l7pz4J709z0mkqUpQbw,healthy
d85rC8v82Tul_TEVefnRPg,healthy
koh-4_SAbshwZ8EBRmXcmg,healthy
0NIk56Duwv9aojlCzAbZpQ,healthy
QaDOWy4-11982JWIxpImNQ,healthy
8AM1gGIk6KVb27Q9TYwD9Q,healthy
xhWqjDuoORYBVgZVc4uK3g,healthy
