Business_ID,Name,Cuisine,Rating,Number of Reviews,Address,Zip Code,Latitude,Longitude,isClosed,insertedAtTimestamp
wurhcLKXD4YJ5XfTxpbE5Q,Grand Sichuan,chinese,3.5,448,229 9th Ave,10001,40.747413,-74.001052,False,03/03/2020 16:58:56
aije_BqBVVl-6T13QsnRqQ,August Gatherings,chinese,3.5,246,266 Canal St,10013,40.7186556,-74.0011004,False,03/03/2020 16:58:56
PAQDvkvVselqlhOc0Mh92g,Doma,mexican,5,30,120 1st Ave,10009,40.72703,-73.985392,False,03/03/2020 16:58:57
SULHf6nGQ8sK0UpG1XU30w,Los Tacos No.1,mexican,4.5,1722,229 W 43rd St,10036,40.7575067,-73.9877717,False,03/03/2020 16:58:57
54hPnm8Z4rJST1CZWaOznw,Pampano,mexican,4,556,209 E 49th St,10017,40.75503,-73.97054,False,03/03/2020 16:58:57
DjtjAuN5jWd_ukx0YWUFWw,Oaxaca Taqueria,mexican,3,84,75 Hoyt St,11217,40.688233,-73.986593,False,03/03/2020 16:58:57
DHFEpeJXemrdxIuGGcyurg,De Mole,mexican,4,609,4502 48th Ave,11377,40.7391932,-73.9202624,False,03/03/2020 16:58:57
0oRYwB_SLqjHptvUQwwe2w,Tajin,mexican,3.5,233,85 Greenwich St,10006,40.70772,-74.01356,False,03/03/2020 16:58:57
ZIfh0Vv86ktGZDdM3YME-w,Mexico Lindo Restaurant,mexican,3.5,247,459 2nd Ave,10010,40.73981,-73.97984,False,03/03/2020 16:58:57
6CEVkAlYw9W_ZHOuNylr8w,Home Made Taqueria,mexican,5,4,517 Meeker Ave,11222,40.720638,-73.943909,False,03/03/2020 16:58:58
VThwGCuC6JVaxAgnmuJDRg,Cilantro,mexican,3.5,427,485 Columbus Ave,10024,40.784629,-73.973121,False,03/03/2020 16:58:58
-ZQfIRtViZowsgaBZfsG4Q,Villa Pancho Taqueria,mexican,3.5,43,472 Myrtle Ave,11205,40.6933447063192,-73.9664311287236,False,03/03/2020 16:58:58
Q10FeFs1mtNchv1NbNcsLg,Oaxaca Taqueria,mexican,3.5,123,152 E 33rd St,10016,40.7453117370605,-73.9795227050781,False,03/03/2020 16:58:58
3DNtS1_3gobrYQBAwDx4DA,Calexico - Greenpoint,mexican,3.5,701,645 Manhattan Ave,11222,40.72416,-73.95132,False,03/03/2020 16:58:58
xBx9GgsH2Npbcp7foPobQA,Castro's Restaurant,mexican,3.5,269,511 Myrtle Ave,11205,40.6938559,-73.964426,False,03/03/2020 16:58:58
Irajo1p3HkygjlhDiIZ_hg,Restaurant  El Maguey,mexican,4.5,40,3917 4th Ave,11232,40.652107,-74.006272,False,03/03/2020 16:58:58
WJIU2Cu6i6-9n-ZUE5rEQA,Sabor A Mexico Taqueria,mexican,3.5,94,160 1st Ave,10009,40.7284353669,-73.9844540083,False,03/03/2020 16:58:58
DY2wlHlgC5eHITs-d5rT4w,Panchos,mexican,4,65,964 Amsterdam Ave,10025,40.8015,-73.96534,False,03/03/2020 16:58:58
ipmOYDh9snm3ZUv546MACQ,Taqueria Milear,mexican,4.5,193,752A Nostrand Ave,11216,40.6729835327648,-73.9503121359905,False,03/03/2020 16:58:58
U02ibutbgrC3uQzEq4w2ww,Guadalajara De Dia 2,mexican,4,86,566 Seneca Ave,11385,40.7044639587402,-73.9109420776367,False,03/03/2020 16:58:58
hcI6TVxFyVNEPXg3rF1bQw,Oaxaca Taqueria,mexican,4,110,405 W 44th St,10036,40.7601356506348,-73.992057800293,False,03/03/2020 16:58:58
ci0-GO_iMb0NdTCUYWjocQ,Noche De Margaritas,mexican,4,351,1726 2nd Ave,10128,40.7801018,-73.9497833,False,03/03/2020 16:58:58
AABqAsYdRI9gSyU1gStdxg,Gina Mexicana,mexican,3,155,145 E 61st St,10021,40.763456,-73.966753,False,03/03/2020 16:58:58
9jpaqIbXGw_A2WTp0NJa1g,Del Sur Cocina,mexican,5,4,260 Meserole St,11206,40.70847,-73.93817,False,03/03/2020 16:58:58
_XPusO4eMV3L9TiD38I4gw,Al Horno Lean Mexican Kitchen,mexican,3,61,110 Pearl St,10005,40.7045938074589,-74.0092887729406,False,03/03/2020 16:58:58
VIIfYEzIppjps0K_J_8zLg,El Rio Grande,mexican,3.5,618,160 E 38th St,10016,40.748074661455,-73.976690081965,False,03/03/2020 16:58:58
r2eXF4w9e8_V3RQTTPTfKw,Eastpoint,mexican,4.5,49,25 Ave B,10009,40.72228,-73.98311,False,03/03/2020 16:58:58
KtzxoHCm9N9QJi31TNjbhw,Pequena,mexican,3.5,329,86 S Portland Ave,11217,40.6868452,-73.9747352,False,03/03/2020 16:58:58
98Bm2w9RzNJQZo4U3jSgQQ,Tacos Times Square,mexican,4,114,134 E 27th St,10016,40.7417320336149,-73.9823354903991,False,03/03/2020 16:58:58
NcIUA8l_kmbPEwqI9lzELg,Anejo,mexican,3.5,672,668 10th Ave,10036,40.762577,-73.992919,False,03/03/2020 16:58:58
rNldYbdOcJRGmLgD29ZELA,Don Panchito,mexican,4,52,,11211,40.7154074225537,-73.9603268362965,False,03/03/2020 16:58:58
