,RestaurantID,Name,Cuisine,Rating,Number of Reviews,Address,Zip Code,Latitude,Longitude,isClosed,insertedAtTimestamp
2287,t4hGjbQaZtBqDAEoqdCJoA,Richie's Burger Joint,american,4.0,76,2665 Broadway,10025.0,40.7982592975529,-73.9695739619898,False,03/03/2020 18:02:20
2286,1Q3oaJahyGRogDWgpo7PIw,Five Leaves,american,4.0,1595,18 Bedford Ave,11222.0,40.72371830945,-73.95159863632,False,03/03/2020 18:02:20
2285,bEloKDe-QVkwakAwmFKbbA,Frying Pan,american,4.0,1492,207 12th Avenue,10001.0,40.7521174043978,-74.0090024471283,False,03/03/2020 18:02:20
2284,11dPQDW_c8Y3F0yhDYBXvA,The Polynesian,american,4.0,320,400 W 42nd St,10036.0,40.7585126468162,-73.99302261985859,False,03/03/2020 18:02:20
2283,4Objcs7HXSGuzpb0SOa-Jw,Blue Hill,american,4.5,1001,75 Washington Pl,10011.0,40.7320640251595,-73.9996931018524,False,03/03/2020 18:02:20
2282,Sq_rG-TCyxnajp6jae89SA,Manolo Tapas,american,4.0,266,4165 Broadway,10033.0,40.84713,-73.93836999999999,False,03/03/2020 18:02:20
2281,4nohlTsGHEDdpwYkRTt-fA,Rudy's Bar & Grill,american,4.0,1096,627 9th Ave,10036.0,40.760040000000004,-73.99181999999999,False,03/03/2020 18:02:20
2280,210LxcDl5dXlYOMlIUmEFQ,Lips - New York,american,4.0,679,227 E 56th St,10022.0,40.75923,-73.96691,False,03/03/2020 18:02:20
2279,Pr-q47vsmM4aoc2t_Sfk8w,Momofuku Noodle Bar,american,4.0,302,10 Columbus Cir,10019.0,40.76847,-73.983092,False,03/03/2020 18:02:19
2278,hhNhU-Lili1DimLWkdmERA,At the Wallace,american,4.0,194,3612 Broadway,10031.0,40.8286495970992,-73.94858322081359,False,03/03/2020 18:02:19
2277,opwt5LRIv9MMFwOLHkPVSQ,The Tavern by WS,american,4.5,18,37 Hudson Yards,10001.0,40.755140600000004,-74.0022568,False,03/03/2020 18:02:19
2275,JeCtYANe0eqW8xe1SN3lWg,Turntable Chicken Jazz,american,4.0,2026,20 W 33rd St,10001.0,40.74828,-73.98649,False,03/03/2020 18:02:19
